distance,air_time
1029,189
228,57
301,68
209,57
264,66
184,40
740,146
665,139
765,150
187,41
94,35
1029,173
427,72
509,107
636,106
1182,207
740,141
427,75
828,129
340,76
184,41
94,30
301,62
425,91
589,118
213,43
589,115
94,30
340,68
740,143
213,42
427,87
301,59
509,93
1029,153
264,59
184,39
301,59
541,93
290,57
228,56
184,41
209,49
264,54
740,150
1029,167
765,139
187,46
94,29
427,83
665,116
964,166
589,111
340,64
636,104
740,143
425,91
589,116
828,128
541,93
427,82
94,30
340,70
1182,202
213,42
301,63
184,39
340,95
1029,164
740,123
427,91
213,43
187,33
509,97
184,41
94,27
264,60
187,35
94,27
187,41
290,58
301,67
213,49
740,125
264,56
184,39
228,51
665,106
1029,149
1391,220
94,37
427,76
187,41
290,54
1029,152
509,87
340,69
288,52
1182,187
228,49
427,76
184,35
828,135
541,91
425,73
740,110
94,28
765,125
301,59
213,43
589,90
760,118
340,69
1029,158
740,124
301,60
184,40
427,77
187,41
264,71
94,36
509,92
187,39
94,29
187,40
290,53
213,46
301,62
228,48
184,40
740,121
665,102
264,63
765,120
1029,166
187,41
1391,208
427,70
94,28
290,46
288,56
509,92
1182,176
740,123
541,87
228,50
1029,155
340,66
184,41
301,63
425,76
828,124
589,90
213,41
427,66
94,26
340,74
1029,156
301,64
427,70
184,36
213,42
509,102
264,54
94,26
187,43
740,133
301,60
288,59
187,39
290,56
213,42
228,46
184,42
264,55
665,126
740,136
765,136
94,27
340,68
427,74
1391,234
187,38
1029,155
290,52
1587,261
483,86
1029,158
340,68
1182,200
740,125
427,70
264,53
541,91
828,128
184,38
228,52
589,105
94,25
213,44
425,88
301,61
340,74
1029,157
740,126
184,41
427,80
187,43
213,49
509,95
264,56
94,28
301,63
187,41
94,27
187,37
290,57
301,64
213,44
228,48
264,58
665,110
1029,152
184,38
187,37
740,122
1391,209
94,29
427,75
1587,250
765,122
288,56
290,57
509,90
340,70
740,118
228,51
427,77
1029,167
541,98
184,37
589,105
301,60
828,131
94,26
213,42
425,79
760,100
340,64
1029,165
740,127
184,38
427,66
187,37
213,40
509,93
264,54
94,28
187,34
94,25
187,36
290,48
301,60
213,45
228,46
264,56
740,124
1029,156
665,99
1391,196
187,35
184,36
765,113
427,66
94,28
1587,227
288,47
290,51
1029,164
509,88
1182,170
340,65
740,123
427,66
228,49
541,81
425,71
828,120
184,39
589,98
301,55
94,26
213,42
760,124
340,69
1029,169
301,63
184,39
740,125
427,68
187,42
213,41
509,94
264,53
94,32
