distance,air_time
1089,160
1576,183
944,140
1028,149
1005,158
2475,345
187,44
760,128
2586,366
1074,175
1598,182
2153,330
1598,192
187,41
301,63
2248,323
1182,191
1990,294
2586,362
944,142
2475,361
1069,156
2475,381
1598,190
1069,159
944,147
2586,356
264,64
209,54
2586,350
2475,358
1041,164
2422,349
2586,378
1089,158
427,80
187,38
2586,369
944,147
541,98
1069,165
760,126
1029,189
340,86
1598,190
187,36
1598,182
2446,354
213,52
541,96
828,130
1089,160
740,160
2475,360
1598,188
509,108
184,41
1005,159
2475,358
4983,659
2475,359
1521,263
266,52
1623,184
1089,166
944,145
427,80
228,52
2475,333
187,38
1028,151
2248,324
301,66
1069,170
2475,352
273,47
2153,342
541,97
2248,320
2475,356
2586,389
2586,363
944,142
1990,295
213,50
266,52
2586,364
2586,349
2475,357
1074,168
2475,347
1069,167
2475,330
2475,353
213,57
541,102
2586,353
1428,253
1005,160
187,40
427,79
1990,298
1598,188
301,70
1069,173
2465,346
187,40
264,65
1089,163
1028,150
760,131
2475,352
828,134
2475,352
2475,362
273,49
187,37
944,144
187,38
2422,349
2586,362
2465,371
2586,375
213,56
944,141
1089,161
427,78
228,57
301,68
1069,162
425,99
209,57
2475,340
1182,192
340,87
264,66
665,130
944,142
340,79
1041,171
213,57
483,98
2475,356
1028,156
1069,163
301,66
1074,168
184,40
944,133
2586,360
2475,351
1598,193
2446,342
1990,320
740,146
665,139
765,150
1391,254
187,41
589,118
1074,171
228,53
2248,309
94,35
740,150
209,58
944,137
1069,155
760,130
2153,317
1598,188
2475,370
509,108
1005,159
2586,354
1626,248
1028,147
1029,173
187,41
2446,349
1521,251
1747,280
2586,357
2475,362
2248,322
290,52
1521,247
541,112
1069,156
740,146
1598,183
1598,189
2475,363
1089,157
2586,347
2446,357
2153,323
1074,176
2454,341
427,72
1005,160
228,65
2475,345
944,141
187,36
1069,152
427,78
541,100
2465,337
2569,334
1029,158
2422,348
509,107
2422,334
636,106
301,70
2586,357
187,34
1598,192
1598,190
2586,361
228,55
1182,207
2586,364
2475,336
944,133
760,132
1089,150
2576,330
944,133
2586,361
1005,159
1990,291
2248,323
740,141
1990,281
2153,314
2521,333
2475,332
427,75
2446,333
765,154
2475,332
1005,158
213,60
828,129
2248,309
2475,349
340,76
184,41
2586,337
1587,251
94,30
187,35
301,62
483,99
425,91
1069,149
1521,255
589,118
2465,328
1069,157
1028,150
1428,245
1182,195
828,131
213,43
427,83
2454,331
1074,163
187,34
2248,309
2475,323
589,115
2475,338
213,54
1626,223
1598,189
944,140
1028,143
427,86
301,64
1598,191
